TOT_REG_CD,공공기관,보육시설,사회복지시,버스정류장수,버스승하차,지하철(1km이내),지하철거리점수,지하철승하차,구별총생활,구별총생활인구,상가수,어린이집개수,면적
1101053010001 ,6,4,0,3,196.5591398,4,24,0,277143,8940.096774,7,6,18821
1101053010002 ,7,2,0,2,428.1774194,3,27,52315,1373417,44303.77419,74,7,37082
1101053010003 ,10,6,0,12,497.1962366,4,26,34690,1245899,40190.29032,37,10,218981
1101053010004 ,10,2,0,5,3152.083871,4,29,52315,1515584,48889.80645,113,10,44920
1101053010005 ,11,2,0,6,2136.021505,3,29,52315,1038484,33499.48387,122,11,70996
1101053010006 ,8,2,0,2,109.516129,2,27,52315,367654,11859.80645,29,8,18424
1101053020001 ,9,2,0,0,0,6,28,66004,1506501,48596.80645,118,9,40788
1101053020002 ,28,7,1,22,2546.55132,8,29,65488,9685760,312443.871,424,28,513924
1101053020003 ,7,7,1,1,82.51612903,4,24,0,236607,7632.483871,6,7,37110
1101053020004 ,9,4,0,0,0,6,26,66004,1305299,42106.41935,53,9,83191
1101053020301 ,4,2,0,0,0,4,26,52315,76365,2463.387097,0,4,4583
1101053020302 ,4,3,0,0,0,4,27,52315,82995,2677.258065,0,4,6033
1101053020303 ,4,3,0,2,1913.403226,4,25,52315,140275,4525,0,4,10900
1101053020304 ,4,3,0,2,1913.403226,4,26,52315,314179,10134.80645,29,4,12143
1101053020501 ,5,3,0,0,0,3,27,52315,118251,3814.548387,8,5,7259
1101053020701 ,7,1,0,0,0,5,27,66004,841046,27130.51613,29,7,16662
1101053020801 ,6,3,0,0,0,4,27,66004,1053082,33970.3871,36,6,17585
1101054010001 ,15,5,2,11,1357.674487,5,29,53221,1629306,52558.25806,226,15,186510
1101054010002 ,9,1,3,10,271.9387097,2,22,0,1383156,44617.93548,85,9,1089174
1101054010003 ,7,2,0,2,399.8870968,1,23,0,275321,8881.322581,16,7,27357
1101054010004 ,8,2,2,3,277.6021505,2,26,53221,917092,29583.6129,162,8,108058
1101054010005 ,6,1,0,7,333.156682,1,21,0,560292,18073.93548,31,6,68157
1101055010001 ,5,0,3,6,1053.27957,0,9,0,443237,14297.96774,42,5,43672
1101055010002 ,4,0,3,2,385.1129032,0,9,0,226135,7294.677419,1,4,16042
1101055010003 ,1,0,4,4,432.8387097,0,8,0,217571,7018.419355,10,1,14086
1101055010004 ,10,0,8,10,522.7483871,0,16,0,1866946,60224.06452,53,10,204446
1101055010005 ,6,0,4,12,279.1693548,0,13,0,811858,26188.96774,5,6,54960
1101055010006 ,5,0,5,8,634.5524194,0,11,0,613282,19783.29032,2,5,45150
1101055020001 ,1,1,4,6,385.4139785,0,7,0,532453,17175.90323,18,1,52465
1101055020002 ,1,2,0,4,415.3225806,0,13,0,602811,19445.51613,51,1,53237
1101055020003 ,1,2,0,3,782.2365591,0,11,0,364203,11748.48387,18,1,62398
1101055020004 ,3,1,5,5,1374.793548,0,11,0,1495777,48250.87097,12,3,96799
1101055020005 ,2,0,2,0,0,0,10,0,50592,1632,2,2,22340
1101055020006 ,2,2,3,0,0,0,9,0,414394,13367.54839,3,2,121088
1101055020007 ,6,0,4,8,551.4112903,0,12,0,693124,22358.83871,41,6,44243
1101055020008 ,2,2,0,3,789.7741935,0,11,0,319345,10301.45161,20,2,55408
1101055020009 ,2,2,0,0,0,0,10,0,1015137,32746.35484,10,2,577163
1101055020010 ,2,0,3,0,0,0,8,0,665752,21475.87097,9,2,15438
1101055020011 ,2,1,3,3,840.8709677,0,11,0,15818,510.2580645,20,2,44081
1101055030001 ,4,0,3,9,578.1792115,0,14,0,254442,8207.806452,30,4,102564
1101055030002 ,1,2,0,3,538.3225806,1,22,0,645503,20822.67742,18,1,367190
1101055030003 ,3,2,2,6,556.0860215,0,18,0,662874,21383.03226,31,3,281786
1101056010001 ,5,0,2,5,84.43225806,0,13,0,664537,21436.67742,0,5,64436
1101056010002 ,2,0,4,6,570.4086022,0,10,0,241891,7802.935484,49,2,23112
1101056010003 ,4,0,2,6,247.0806452,0,14,0,518659,16730.93548,37,4,161389
1101056010004 ,3,0,3,4,9.653225806,0,12,0,163776,5283.096774,3,3,24310
1101056010005 ,4,0,3,6,85.50537634,0,10,0,301522,9726.516129,7,4,16296
1101056010006 ,3,0,4,4,393.6129032,0,9,0,138830,4478.387097,6,3,19574
1101056020001 ,3,1,8,7,503.1382488,0,8,0,338019,10903.83871,11,3,346970
1101056020002 ,2,1,2,7,314.9677419,0,11,0,803516,25919.87097,32,2,49103
1101056020003 ,7,3,7,2,43.12903226,0,3,0,281820,9090.967742,5,7,61570
1101056020004 ,1,0,5,3,29.20430108,0,2,0,258053,8324.290323,8,1,56754
1101056020005 ,3,3,6,3,28.24731183,0,6,0,304139,9810.935484,8,3,65727
1101056020006 ,10,2,5,6,240.2849462,0,0,0,292265,9427.903226,5,10,143933
1101056020007 ,1,0,1,9,215.1039427,0,10,0,239328,7720.258065,22,1,363837
1101056020008 ,2,0,4,6,19.98924731,0,3,0,32048,1033.806452,9,2,150634
1101056020009 ,9,3,7,4,1398.83871,0,2,0,215855,6963.064516,67,9,48552
1101056020010 ,2,1,2,3,235.8602151,0,11,0,608277,19621.83871,3,2,200499
1101056020011 ,2,1,2,4,238.2096774,0,15,0,433361,13979.3871,5,2,1087243
1101056020012 ,8,0,3,3,315.5913978,0,1,0,52569,1695.774194,39,8,123381
1101056020013 ,4,1,7,7,124.764977,0,9,0,718435,23175.32258,15,4,3253945
1101056020014 ,10,3,6,0,0,0,1,0,200383,6463.967742,4,10,57913
1101056020015 ,4,0,1,8,268.5604839,0,8,0,95667,3086.032258,8,4,514772
1101056020016 ,10,3,3,1,804.516129,0,0,0,101553,3275.903226,11,10,32670
1101056020017 ,1,0,4,6,668.3763441,0,9,0,615469,19853.83871,13,1,61322
1101056020018 ,6,3,6,4,18.27419355,0,1,0,386309,12461.58065,4,6,106984
1101056020019 ,9,3,3,2,1249.387097,0,0,0,128928,4158.967742,26,9,31210
1101056020020 ,1,1,7,4,402.9677419,0,8,0,289181,9328.419355,9,1,84074
1101056020021 ,4,2,2,5,354.0258065,0,6,0,981829,31671.90323,24,4,20772
1101056020022 ,4,3,4,5,511.883871,0,5,0,269914,8706.903226,59,4,44043
1101056020023 ,9,3,4,0,0,0,0,0,107498,3467.677419,0,9,20386
1101056030001 ,11,3,3,8,609.1733871,0,10,0,3370251,108717.7742,14,11,1417586
1101056030002 ,6,1,1,3,463.6989247,0,1,0,37179,1199.322581,6,6,33981
1101056030003 ,6,0,1,2,1033.790323,0,3,0,34802,1122.645161,20,6,22809
1101056030004 ,9,3,2,6,991.1451613,0,3,0,193622,6245.870968,39,9,192156
1101056030101 ,3,3,2,3,1300.365591,0,3,0,55160,1779.354839,0,3,10656
1101056030401 ,6,0,0,0,0,0,1,0,15647,504.7419355,2,6,7979
1101056030601 ,0,0,1,3,698.827957,0,3,0,27051,872.6129032,0,,21006
1101056030701 ,0,0,1,2,332.8225806,0,4,0,33037,1065.709677,10,,6269
1101057010001 ,6,5,0,10,1081.4,2,29,17065,1858413,59948.80645,123,6,60324
1101057010002 ,7,3,0,0,0,3,27,12715,180055,5808.225806,2,7,190511
1101057010101 ,5,4,0,0,0,1,28,17065,311458,10047.03226,1,5,4596
1101057010102 ,3,2,0,1,427.4516129,2,26,17065,168810,5445.483871,0,3,5658
1101057010103 ,5,4,0,1,392.6774194,1,28,17065,297456,9595.354839,0,5,9315
1101057010104 ,4,4,0,0,0,1,27,17065,164931,5320.354839,0,4,5413
1101057010105 ,5,4,0,1,392.6774194,1,27,17065,212983,6870.419355,0,5,8849
1101057010106 ,3,3,0,0,0,1,29,17065,294386,9496.322581,18,3,8735
1101057010107 ,4,4,0,1,427.4516129,1,26,17065,324747,10475.70968,3,4,10554
1101057010108 ,2,3,0,0,0,1,28,17065,162548,5243.483871,0,2,3911
1101057010301 ,1,3,0,0,0,2,28,17065,155513,5016.548387,0,1,6283
1101057010302 ,2,2,0,0,0,2,28,17065,307954,9934,2,2,12166
1101057010303 ,1,2,0,0,0,2,27,17065,223922,7223.290323,0,1,7559
1101057010304 ,3,1,0,2,106.3548387,2,27,17065,300434,9691.419355,10,3,13715
1101057010305 ,1,2,0,0,0,2,27,17065,168656,5440.516129,0,1,6545
1101057010401 ,2,3,0,0,0,1,28,17065,236291,7622.290323,1,2,15387
1101058010001 ,6,4,3,6,459.3548387,3,27,17065,1161951,37482.29032,36,6,33035
1101058010002 ,6,3,0,2,246.6774194,3,25,17065,181048,5840.258065,2,6,8689
1101058010003 ,5,4,0,2,399.5322581,3,26,17065,213780,6896.129032,4,5,6602
1101058010004 ,5,4,0,3,408.8387097,2,26,17065,219125,7068.548387,8,5,7397
1101058010005 ,6,3,0,1,86.96774194,3,25,17065,149542,4823.935484,1,6,5072
1101058010006 ,6,5,1,3,275.7096774,3,25,17065,397216,12813.41935,3,6,23532
1101058010007 ,7,4,0,2,416.9193548,2,25,17065,387596,12503.09677,1,7,17539
1101058010008 ,5,4,0,2,279.5967742,2,27,17065,179273,5783,2,5,6705
1101058020001 ,14,7,4,14,1080.5553,5,26,27251,1014855,32737.25806,78,14,134362
1101058030001 ,16,4,4,16,1380.5,6,29,37437,1585399,51141.90323,90,16,103993
1101060010001 ,7,1,0,4,278.4596774,1,22,0,181647,5859.580645,11,7,81845
1101060010002 ,14,2,2,10,325.183871,3,29,53221,1717673,55408.80645,183,14,71343
1101060010003 ,11,2,0,11,219.1143695,1,24,0,553082,17841.35484,48,11,124546
1101060010004 ,13,2,2,5,1498.941935,3,28,53221,1268717,40926.35484,80,13,66913
1101060010005 ,7,1,2,0,0,2,26,53221,563234,18168.83871,25,7,39436
1101060010006 ,5,1,0,2,242.6612903,1,23,0,148021,4774.870968,15,5,14418
1101060010007 ,4,1,0,2,175.3387097,1,24,0,151590,4890,17,4,15605
1101060020001 ,19,3,2,15,360.5075269,4,29,53221,1631858,52640.58065,86,19,125848
1101061010001 ,17,5,5,7,1145.728111,6,26,73033,1012488,32660.90323,11,17,687578
1101061020001 ,13,4,3,11,2332.319648,10,29,69395,5911588,190696.3871,501,13,411252
1101061020002 ,3,1,3,3,1721.849462,6,25,91955,1432105,46196.93548,71,3,60047
1101061020301 ,3,1,1,2,2628.935484,5,27,47369,151175,4876.612903,67,3,7450
1101061030001 ,23,5,2,15,3514.113978,7,29,77128,10881503,351016.2258,472,23,280439
1101061030002 ,19,6,2,11,1796.366569,7,29,91146,3639047,117388.6129,232,19,161830
1101061030003 ,9,3,2,0,0,7,29,90464,1675885,54060.80645,184,9,42179
1101061030004 ,16,6,2,15,4494.645161,9,29,92207,5685838,183414.129,344,16,175894
1101061030005 ,15,6,2,8,1040.729839,9,27,91146,2813913,90771.3871,264,15,88569
