TOT_REG_CD,ADM_NM,ADM_CD,버스정류장,버스승하차,지하철(1km,지하철 거리점수,승하차평균,구별총생활,구별총생_1,사고수n,차선수,평균속도,표준편차,혼잡수치
1101053010006 ,사직동,1101053,5,1269,2,550,52315,367654,11859.80645,1,,,,
1101053010001 ,사직동,1101053,5,140,4,300,0,277143,8940.096774,,,,,
1101053010003 ,사직동,1101053,13,492,4,400,34690,1245899,40190.29032,4,1.75,34.77722917,2.489154224,1915.480185
1101053010002 ,사직동,1101053,4,1390,3,550,52315,1373417,44303.77419,3,,,,
1101053010005 ,사직동,1101053,7,2165,3,700,52315,1038484,33499.48387,2,2,20.4795,2.667286059,2431.1284
1101053010004 ,사직동,1101053,7,3171,4,750,52315,1515584,48889.80645,,3,32.79148611,4.466514715,1656.517367
1101053020004 ,사직동,1101053,0,0,6,450,66004,1305299,42106.41935,23,,,,
1101053020002 ,사직동,1101053,28,2505,8,550,65488,9685760,312443.871,50,3.130434783,24.69437983,4.760363,1994.767706
1101053020003 ,사직동,1101053,3,1006,4,300,0,236607,7632.483871,1,,,,
1101053020001 ,사직동,1101053,0,0,6,700,66004,1506501,48596.80645,20,2.5,23.46349306,3.483530679,2187.43103
1101053020303 ,사직동,1101053,2,1913,4,450,52315,140275,4525,,2,38.94306944,3.217489043,1647.785491
1101053020301 ,사직동,1101053,1,2531,4,550,52315,76365,2463.387097,8,,,,
1101053020304 ,사직동,1101053,3,1469,4,500,52315,314179,10134.80645,8,2,22.16022916,3.823399375,2359.821101
1101053020302 ,사직동,1101053,2,1913,4,600,52315,82995,2677.258065,8,,,,
1101053020501 ,사직동,1101053,0,0,3,650,52315,118251,3814.548387,8,,,,
1101053020701 ,사직동,1101053,0,0,5,600,66004,841046,27130.51613,10,,,,
1101053020801 ,사직동,1101053,0,0,4,650,66004,1053082,33970.3871,8,2,22.36572222,2.936115145,2351.102769
1101054010002 ,삼청동,1101054,12,272,2,100,0,1383156,44617.93548,,1,30.13053241,2.977697332,2396.084028
1101054010005 ,삼청동,1101054,7,333,1,50,0,560292,18073.93548,,2,22.31806945,2.130018983,2353.124505
1101054010004 ,삼청동,1101054,8,276,2,300,53221,917092,29583.6129,11,1.2,23.38656944,3.603322913,2531.77808
1101054010001 ,삼청동,1101054,15,1285,5,600,53221,1629306,52558.25806,7,3.4,23.0698,5.006476361,2044.527695
1101054010003 ,삼청동,1101054,4,335,1,150,0,275321,8881.322581,,,,,
1101055010001 ,부암동,1101055,6,1053,0,0,0,443237,14297.96774,,2.5,27.03736111,3.160265907,2018.607602
1101055010003 ,부암동,1101055,4,433,0,0,0,217571,7018.419355,,3,27.36192361,2.855047163,1878.232743
1101055010002 ,부암동,1101055,7,288,0,0,0,226135,7294.677419,1,,,,
1101055010005 ,부암동,1101055,16,246,0,0,0,811858,26188.96774,1,,,,
1101055010004 ,부암동,1101055,14,486,0,0,0,1866946,60224.06452,1,,,,
1101055010006 ,부암동,1101055,12,580,0,0,0,613282,19783.29032,1,2,26.87590278,3.40810402,2159.752014
1101055020008 ,부암동,1101055,4,604,0,0,0,319345,10301.45161,,,,,
1101055020009 ,부암동,1101055,0,0,0,0,0,1015137,32746.35484,,1,30.72236806,2.21882602,2378.328959
1101055020006 ,부암동,1101055,0,0,0,0,0,414394,13367.54839,,,,,
1101055020007 ,부암동,1101055,9,491,0,0,0,693124,22358.83871,,2.666666667,29.40780092,4.326672727,1860.429034
1101055020004 ,부암동,1101055,7,1145,0,0,0,1495777,48250.87097,,,,,
1101055020005 ,부암동,1101055,0,0,0,0,0,50592,1632,,,,,
1101055020002 ,부암동,1101055,6,447,0,0,0,602811,19445.51613,,1.333333333,19.30196759,4.091301924,2626.462943
1101055020003 ,부암동,1101055,3,782,0,0,0,364203,11748.48387,,,,,
1101055020011 ,부암동,1101055,4,707,0,0,0,15818,510.2580645,,,,,
1101055020001 ,부암동,1101055,6,385,0,0,0,532453,17175.90323,,2.5,27.55990972,4.157501963,2004.127218
1101055020010 ,부암동,1101055,2,2294,0,0,0,665752,21475.87097,,,,,
1101055030002 ,부암동,1101055,5,528,1,100,0,645503,20822.67742,,1.6,29.87934167,3.754971157,2181.463486
1101055030001 ,부암동,1101055,10,521,0,0,0,254442,8207.806452,,3,30.18897917,4.654516155,1731.334628
1101055030003 ,부암동,1101055,9,720,0,0,0,662874,21383.03226,,,,,
1101056010006 ,평창동,1101056,9,466,0,0,0,138830,4478.387097,,,,,
1101056010001 ,평창동,1101056,9,68,0,0,0,664537,21436.67742,4,,,,
1101056010003 ,평창동,1101056,10,345,0,0,0,518659,16730.93548,3,3,36.89643056,5.477729591,1382.80523
1101056010002 ,평창동,1101056,7,498,0,0,0,241891,7802.935484,,3,28.16836111,3.175309645,1836.329022
1101056010005 ,평창동,1101056,7,85,0,0,0,301522,9726.516129,1,,,,
1101056010004 ,평창동,1101056,7,302,0,0,0,163776,5283.096774,3,,,,
1101056020013 ,평창동,1101056,11,86,0,0,0,718435,23175.32258,,,,,
1101056020010 ,평창동,1101056,3,236,0,0,0,608277,19621.83871,2,,,,
1101056020011 ,평창동,1101056,5,262,0,0,0,433361,13979.3871,2,3,33.0941875,6.491261078,1580.375575
1101056020001 ,평창동,1101056,9,395,0,0,0,338019,10903.83871,,,,,
1101056020018 ,평창동,1101056,5,19,0,0,0,386309,12461.58065,1,,,,
1101056020019 ,평창동,1101056,2,1249,0,0,0,128928,4158.967742,,,,,
1101056020006 ,평창동,1101056,7,209,0,0,0,292265,9427.903226,3,,,,
1101056020007 ,평창동,1101056,11,259,0,0,0,239328,7720.258065,,2,28.56433333,5.780219244,2088.117972
1101056020004 ,평창동,1101056,3,29,0,0,0,258053,8324.290323,,,,,
1101056020005 ,평창동,1101056,3,28,0,0,0,304139,9810.935484,,,,,
1101056020002 ,평창동,1101056,8,286,0,0,0,803516,25919.87097,,3,27.92371528,5.019788623,1849.041192
1101056020003 ,평창동,1101056,2,43,0,0,0,281820,9090.967742,,,,,
1101056020022 ,평창동,1101056,8,643,0,0,0,269914,8706.903226,,,,,
1101056020023 ,평창동,1101056,0,0,0,0,0,107498,3467.677419,1,,,,
1101056020020 ,평창동,1101056,6,579,0,0,0,289181,9328.419355,,,,,
1101056020021 ,평창동,1101056,6,596,0,0,0,981829,31671.90323,,2,28.56433333,5.780219244,2088.117972
1101056020008 ,평창동,1101056,7,20,0,0,0,32048,1033.806452,,,,,
1101056020009 ,평창동,1101056,6,1072,0,0,0,215855,6963.064516,,,,,
1101056020016 ,평창동,1101056,5,778,0,0,0,101553,3275.903226,1,,,,
1101056020017 ,평창동,1101056,7,678,0,0,0,615469,19853.83871,,,,,
1101056020014 ,평창동,1101056,1,20,0,0,0,200383,6463.967742,2,,,,
1101056020015 ,평창동,1101056,10,219,0,0,0,95667,3086.032258,,,,,
1101056020012 ,평창동,1101056,4,529,0,0,0,52569,1695.774194,2,,,,
1101056030004 ,평창동,1101056,8,974,0,0,0,193622,6245.870968,,,,,
1101056030003 ,평창동,1101056,3,699,0,0,0,34802,1122.645161,,2,31.46354167,5.359130966,1965.114979
1101056030002 ,평창동,1101056,4,572,0,0,0,37179,1199.322581,,2,30.0139375,5.569675105,2026.616476
1101056030001 ,평창동,1101056,11,633,0,0,0,3370251,108717.7742,,1.5,31.09295486,3.788978493,2171.721969
1101056030101 ,평창동,1101056,5,795,0,0,0,55160,1779.354839,,,,,
1101056030401 ,평창동,1101056,1,896,0,0,0,15647,504.7419355,,,,,
1101056030601 ,평창동,1101056,4,683,0,0,0,27051,872.6129032,,,,,
1101056030701 ,평창동,1101056,2,333,0,0,0,33037,1065.709677,,2,31.46354167,5.359130966,1965.114979
1101057010001 ,무악동,1101057,10,1081,2,750,17065,1858413,59948.80645,2,,,,
1101057010002 ,무악동,1101057,1,427,3,500,12715,180055,5808.225806,,,,,
1101057010108 ,무악동,1101057,0,0,1,800,17065,162548,5243.483871,,,,,
1101057010101 ,무악동,1101057,1,167,1,750,17065,311458,10047.03226,,,,,
1101057010103 ,무악동,1101057,2,280,1,700,17065,297456,9595.354839,2,,,,
1101057010102 ,무악동,1101057,1,427,2,550,17065,168810,5445.483871,,,,,
1101057010105 ,무악동,1101057,3,409,1,650,17065,212983,6870.419355,2,,,,
1101057010104 ,무악동,1101057,1,427,1,650,17065,164931,5320.354839,,,,,
1101057010107 ,무악동,1101057,3,409,1,550,17065,324747,10475.70968,,,,,
1101057010106 ,무악동,1101057,1,4476,1,850,17065,294386,9496.322581,,,,,
1101057010304 ,무악동,1101057,2,106,2,600,17065,300434,9691.419355,,,,,
1101057010301 ,무악동,1101057,0,0,2,750,17065,155513,5016.548387,,,,,
1101057010303 ,무악동,1101057,0,0,2,650,17065,223922,7223.290323,,,,,
1101057010302 ,무악동,1101057,4,894,2,700,17065,307954,9934,,,,,
1101057010305 ,무악동,1101057,0,0,2,650,17065,168656,5440.516129,,,,,
1101057010401 ,무악동,1101057,0,0,1,700,17065,236291,7622.290323,,,,,
1101058010008 ,교남동,1101058,2,280,2,600,17065,179273,5783,2,,,,
1101058010001 ,교남동,1101058,11,834,3,600,17065,1161951,37482.29032,2,3,24.47188889,6.935457227,2028.403353
1101058010003 ,교남동,1101058,3,295,3,550,17065,213780,6896.129032,3,,,,
1101058010002 ,교남동,1101058,5,279,3,450,17065,181048,5840.258065,3,,,,
1101058010005 ,교남동,1101058,3,276,3,450,17065,149542,4823.935484,,,,,
1101058010004 ,교남동,1101058,3,409,2,550,17065,219125,7068.548387,3,,,,
1101058010007 ,교남동,1101058,4,328,2,450,17065,387596,12503.09677,1,,,,
1101058010006 ,교남동,1101058,7,220,3,400,17065,397216,12813.41935,,2,39.05211111,4.275054008,1643.159245
1101058020001 ,교남동,1101058,20,1247,5,400,27251,1014855,32737.25806,10,1.909090909,28.80197096,4.039497823,2104.123885
1101058030001 ,교남동,1101058,21,1097,6,700,37437,1585399,51141.90323,14,3.571428571,22.28727381,6.249766594,2052.332192
1101060010006 ,가회동,1101060,3,211,1,200,0,148021,4774.870968,1,,,,
1101060010001 ,가회동,1101060,6,275,1,100,0,181647,5859.580645,,,,,
1101060010003 ,가회동,1101060,14,195,1,200,0,553082,17841.35484,,2,22.49209722,2.175245694,2345.741132
